Sale_ID,Cust_ID,Bikes,Sale_date,Resale Price (INR),Payment_Mode,EMI_Duration_Months,Satisfaction
79,Cust_153,Pulsar 150,2024-12-21,199917.17,UPI,0,7
80,Cust_155,Interceptor 650,2024-10-16,215428.56,UPI,0,2
81,Cust_156,Unicorn,2024-05-15,197760.05,UPI,0,10
82,Cust_158,Splendor Plus,2024-11-20,54363.32,UPI,0,9
83,Cust_160,Apache RTR 160,2024-08-16,209566.7,Cash,0,2
84,Cust_164,HF Deluxe,2024-07-19,91744.22,UPI,0,8
85,Cust_166,Avenger 220,2024-11-16,91233.3,EMI,24,3
86,Cust_167,390 Adventure,2024-04-08,157743.79,Cash,0,4
87,Cust_168,Dio,2024-05-11,65576.03,EMI,9,2
88,Cust_170,Glamour,2024-03-23,145261.54,UPI,0,9
89,Cust_171,Xtreme 160R,2024-12-14,115865.15,UPI,0,6
90,Cust_172,Ronin,2024-12-23,103242.42,Cash,0,9
91,Cust_174,Shine,2024-04-28,238462.12,Card,0,8
92,Cust_175,NTorq 125,2024-11-09,215862.87,Cash,0,9
93,Cust_178,Fascino 125,2024-04-10,96056.57,Card,0,5
94,Cust_181,Avenger 220,2024-09-20,46132.61,Card,0,6
95,Cust_184,FZ V3,2025-03-05,35079.4,Card,0,7
96,Cust_185,390 Adventure,2024-05-16,27992.34,Cash,0,5
97,Cust_187,Shine,2024-07-22,80884.08,Cash,0,1
98,Cust_188,Fascino 125,2024-04-26,203791.95,Card,0,9
99,Cust_194,FZ V3,2024-10-23,53430.47,UPI,0,2
100,Cust_195,Apache RTR 160,2024-07-04,103546.72,Cash,0,7
101,Cust_196,Avenger 220,2024-09-07,40528.9,UPI,0,8
102,Cust_197,Ninja 300,2025-03-08,153335.69,Card,0,8
103,Cust_198,Ronin,2024-12-12,66574.27,Cash,0,1
104,Cust_200,Apache RTR 160,2024-03-14,250941.57,UPI,0,10
105,Cust_202,R15 V4,2024-12-13,182952.79,Card,0,7
106,Cust_204,Ninja 300,2025-01-28,291922.32,UPI,0,9
107,Cust_209,Versys 650,2024-11-18,67273.42,Cash,0,3
108,Cust_210,Ray ZR,2024-09-04,174047.2,EMI,24,8
109,Cust_213,Sport,2025-02-27,59021.8,UPI,0,8
110,Cust_214,Unicorn,2024-03-09,109227.11,EMI,24,9
111,Cust_215,Apache RTR 160,2024-05-29,77826.08,Card,0,8
112,Cust_216,CBR 650R,2024-11-23,116449.3,UPI,0,5
113,Cust_217,Pulsar 150,2024-08-12,289590.78,UPI,0,5
114,Cust_221,CT 100,2024-03-23,154994.96,UPI,0,3
115,Cust_222,Activa,2024-09-03,205957.55,UPI,0,6
116,Cust_229,Z650,2024-08-31,139114.13,UPI,0,10
117,Cust_230,Dominar 400,2024-05-12,135348.28,UPI,0,10
118,Cust_231,Ninja 400,2024-05-12,87080.18,Cash,0,2
119,Cust_232,250 Duke,2024-10-17,58524.42,UPI,0,7
120,Cust_238,Apache RTR 160,2024-12-04,179197.1,UPI,0,10
121,Cust_240,Activa,2025-01-08,183999.58,Cash,0,3
122,Cust_242,MT-15,2025-01-29,292050.9,EMI,24,4
123,Cust_246,Jupiter,2024-09-07,141970.73,EMI,3,10
124,Cust_247,NTorq 125,2025-02-01,212871.29,Card,0,8
125,Cust_250,Dominar 400,2024-09-18,219346.47,Cash,0,1
126,Cust_251,Hunter 350,2024-03-17,120037.48,UPI,0,9
127,Cust_253,CT 100,2024-07-24,55965.1,UPI,0,6
128,Cust_254,250 Duke,2025-03-05,201257.8,EMI,12,2
129,Cust_255,RC 390,2024-12-25,262394.28,EMI,6,3
130,Cust_257,Fascino 125,2024-07-31,81853.75,Card,0,5
131,Cust_260,Fascino 125,2025-02-23,205911.58,Cash,0,10
132,Cust_263,Sport,2024-07-04,239699.49,Card,0,9
133,Cust_264,CT 100,2024-05-10,57333.52,UPI,0,2
134,Cust_267,FZ V3,2025-02-12,144576.81,Cash,0,10
135,Cust_268,Ninja 300,2024-10-21,61811.9,EMI,3,7
136,Cust_270,Ninja 400,2025-03-04,87374.49,UPI,0,7
137,Cust_271,Passion Pro,2025-02-10,143221.15,Card,0,4
138,Cust_272,Ninja 300,2024-09-08,59613.59,UPI,0,3
139,Cust_273,250 Duke,2024-11-27,213065.8,UPI,0,8
140,Cust_274,Avenger 220,2024-10-30,58220.21,EMI,9,2
141,Cust_276,Ronin,2024-06-20,70010.31,Cash,0,5
142,Cust_277,Ray ZR,2024-08-25,79906.81,UPI,0,10
143,Cust_279,Ninja 300,2024-04-19,132101.72,Cash,0,5
144,Cust_281,Sport,2024-06-11,194324.61,UPI,0,1
145,Cust_282,Interceptor 650,2024-11-15,40071.87,EMI,24,7
146,Cust_284,Hunter 350,2025-02-23,74939.98,Cash,0,4
147,Cust_285,RC 390,2024-08-09,235149.64,Card,0,10
148,Cust_286,CT 100,2025-02-13,78547.55,Card,0,2
149,Cust_287,Activa,2024-04-01,158829.93,UPI,0,8
150,Cust_288,R15 V4,2024-08-08,100173.9,UPI,0,4
151,Cust_292,Apache RTR 160,2024-10-18,162383.27,UPI,0,1
152,Cust_296,R15 V4,2024-10-14,229069.06,UPI,0,8
153,Cust_297,R15 V4,2024-05-11,34387.4,UPI,0,7
154,Cust_300,Shine,2024-08-12,240583.32,Cash,0,3
155,Cust_303,Passion Pro,2024-07-10,126289.57,Cash,0,3
156,Cust_309,Splendor Plus,2024-10-31,177765.68,Card,0,7
157,Cust_310,250 Duke,2024-06-21,163750.28,EMI,9,2
158,Cust_311,Z650,2024-06-20,128081.71,Cash,0,5
159,Cust_312,125 Duke,2024-09-16,132567.49,Card,0,7
160,Cust_314,Dominar 400,2024-05-15,80211.84,Cash,0,6
161,Cust_320,CT 100,2024-07-10,144021.7,Card,0,10
162,Cust_322,Passion Pro,2025-03-07,103419.59,EMI,12,7
163,Cust_324,Jupiter,2024-04-15,124264.09,UPI,0,2
164,Cust_325,Interceptor 650,2024-06-03,129455.7,Card,0,7
165,Cust_329,Z650,2024-08-23,121376.15,UPI,0,2
166,Cust_332,Fascino 125,2024-09-14,83122.39,EMI,9,7
167,Cust_333,Apache RTR 160,2025-02-23,215505.69,UPI,0,8
168,Cust_334,Meteor 350,2024-10-04,265851.43,UPI,0,10
169,Cust_336,Vulcan S,2024-07-23,246408.54,Card,0,8
170,Cust_337,Duke 200,2024-12-25,156453.23,UPI,0,5
171,Cust_338,Jupiter,2024-03-21,23956.86,Cash,0,7
172,Cust_341,Passion Pro,2024-08-20,155553.74,Card,0,8
173,Cust_343,390 Adventure,2024-07-17,233134.59,Card,0,4
174,Cust_344,Hunter 350,2024-09-15,81759.61,Card,0,2
175,Cust_346,Unicorn,2024-12-03,167439.48,Card,0,7
176,Cust_347,HF Deluxe,2025-02-11,76341.38,EMI,9,1
177,Cust_349,MT-15,2024-10-20,38817.63,Card,0,2
178,Cust_351,RC 390,2025-03-07,264211.83,UPI,0,10
179,Cust_355,Ninja 300,2024-09-28,116341.5,UPI,0,7
180,Cust_356,Meteor 350,2024-10-08,201442.56,Card,0,10
181,Cust_357,Ninja 400,2024-10-19,150887.27,Cash,0,1
182,Cust_359,Hunter 350,2024-11-30,70595.68,EMI,12,7
183,Cust_360,Meteor 350,2024-07-30,69640.3,UPI,0,5
184,Cust_362,Hunter 350,2025-03-05,211887.68,UPI,0,3
185,Cust_363,Ninja 300,2024-10-27,51278.29,Cash,0,2
186,Cust_364,250 Duke,2025-03-05,285118.2,EMI,3,7
187,Cust_365,HF Deluxe,2024-08-13,111118.16,Cash,0,9
188,Cust_368,Vulcan S,2025-03-02,193837.42,Cash,0,9
189,Cust_370,Activa,2024-06-02,172802.36,Card,0,10
190,Cust_371,Sport,2025-01-18,141674.8,Cash,0,10
191,Cust_372,Apache RTR 160,2024-10-31,75051.13,UPI,0,8
192,Cust_375,Splendor Plus,2025-01-07,95030.83,EMI,18,2
193,Cust_381,Pulsar 150,2024-12-25,173323.11,UPI,0,1
194,Cust_382,Ray ZR,2025-01-09,73557.17,EMI,24,8
195,Cust_384,Interceptor 650,2024-07-11,47298.94,UPI,0,2
196,Cust_385,Splendor Plus,2024-03-12,158485.92,Cash,0,4
197,Cust_387,Fascino 125,2024-09-19,196061.24,EMI,9,4
198,Cust_388,CT 100,2025-02-08,114981.3,UPI,0,2
199,Cust_389,Duke 200,2024-05-02,274925.1,Card,0,4
200,Cust_393,Ronin,2024-08-20,79347.72,UPI,0,7
201,Cust_394,Classic 350,2024-04-28,45342.56,Cash,0,10
202,Cust_397,250 Duke,2024-08-05,208574.66,Cash,0,10
203,Cust_398,Ronin,2024-08-15,220812.99,UPI,0,6
204,Cust_399,Ronin,2024-06-09,148449,Cash,0,4
205,Cust_401,RC 390,2024-08-03,161293.89,Card,0,2
206,Cust_403,Shine,2025-02-18,191053.38,Card,0,5
207,Cust_404,125 Duke,2024-10-24,53013.87,Card,0,3
208,Cust_406,Hunter 350,2024-12-04,214488.75,UPI,0,3
209,Cust_407,Avenger 220,2024-11-16,45609.78,EMI,6,4
210,Cust_408,Ninja 400,2024-06-14,132803.73,Card,0,5
211,Cust_412,390 Adventure,2024-07-23,201684.49,Cash,0,2
212,Cust_414,NTorq 125,2024-10-20,77958.01,EMI,6,6
213,Cust_415,Jupiter,2024-06-16,158828.49,Card,0,6
214,Cust_416,Dio,2025-01-20,80402.38,Cash,0,8
215,Cust_420,390 Adventure,2025-01-29,133998.39,UPI,0,2
216,Cust_423,Dominar 400,2024-09-01,133101.51,Cash,0,8
217,Cust_424,Versys 650,2024-11-10,122729.96,UPI,0,8
218,Cust_425,Glamour,2025-03-02,246954.48,Cash,0,4
219,Cust_427,125 Duke,2024-12-07,88738.4,UPI,0,7
220,Cust_428,Dominar 400,2024-08-09,128595.97,Cash,0,10
221,Cust_430,MT-15,2024-10-27,46261.22,UPI,0,10
222,Cust_431,Xtreme 160R,2024-04-07,183497.96,UPI,0,1
223,Cust_432,Pulsar 150,2024-06-06,32074.53,Cash,0,8
224,Cust_433,Unicorn,2024-06-27,122035.75,Card,0,1
225,Cust_436,Unicorn,2024-05-24,47741.69,Card,0,3
226,Cust_441,Himalayan,2024-07-21,103132.98,Cash,0,6
227,Cust_442,Pulsar 150,2024-06-16,91618.92,Cash,0,8
228,Cust_443,CT 100,2024-08-05,110531.96,EMI,6,5
229,Cust_444,250 Duke,2024-03-19,146691.53,UPI,0,5
230,Cust_445,390 Adventure,2024-12-26,208818.09,UPI,0,4
231,Cust_446,390 Adventure,2025-02-27,197776.78,Card,0,4
232,Cust_450,Glamour,2024-04-25,69616.53,Cash,0,7
233,Cust_451,HF Deluxe,2024-05-28,145505.07,Card,0,6
234,Cust_454,MT-15,2024-10-03,85728.06,UPI,0,8
235,Cust_456,390 Adventure,2024-04-18,157281.93,EMI,12,6
236,Cust_458,Ninja 300,2024-09-23,43484.1,Cash,0,10
237,Cust_460,Pulsar 150,2024-06-06,218593.41,Cash,0,7
238,Cust_462,390 Adventure,2024-11-23,76436.96,Card,0,10
239,Cust_463,FZ V3,2025-01-04,180553.32,UPI,0,10
240,Cust_467,Duke 200,2025-02-01,97027.78,Card,0,5
241,Cust_468,Interceptor 650,2024-06-29,81802.72,Card,0,6
242,Cust_469,Apache RTR 160,2025-01-14,87580.71,Card,0,1
243,Cust_470,Activa,2024-10-20,104437.95,UPI,0,10
244,Cust_471,Z650,2024-06-23,209018.31,UPI,0,8
245,Cust_473,Avenger 220,2025-01-21,37439.43,Card,0,3
246,Cust_474,Ninja 300,2024-07-29,67014.18,UPI,0,1
247,Cust_476,Passion Pro,2024-03-19,153246.94,Cash,0,3
248,Cust_477,Ray ZR,2024-04-03,216642.3,Cash,0,4
249,Cust_480,Z650,2024-06-28,120190.6,Cash,0,8
250,Cust_482,RC 390,2024-11-04,83183.4,Card,0,9
251,Cust_485,Glamour,2024-11-21,170714.74,UPI,0,4
252,Cust_487,Activa,2025-02-20,116707.21,Card,0,7
253,Cust_488,Duke 200,2024-06-25,203228.28,UPI,0,1
254,Cust_490,Activa,2025-03-06,248650.31,UPI,0,9
255,Cust_492,Z650,2024-04-01,36172.87,UPI,0,4
256,Cust_496,250 Duke,2024-09-27,147247.44,Cash,0,9
257,Cust_497,CBR 650R,2024-07-20,105547.93,Card,0,3
258,Cust_499,Dominar 400,2024-11-15,48946.7,UPI,0,5
259,Cust_500,Pulsar 150,2024-04-05,158611.79,UPI,0,1
260,Cust_506,HF Deluxe,2024-10-05,84888.54,UPI,0,3
261,Cust_507,Jupiter,2024-08-11,263792.36,Card,0,5
262,Cust_509,250 Duke,2025-02-26,102800.01,UPI,0,6
263,Cust_510,Glamour,2024-05-26,178336.16,Card,0,8
264,Cust_512,CBR 650R,2024-09-30,286753.77,Cash,0,1
265,Cust_515,CBR 650R,2024-06-10,185857.29,Cash,0,3
266,Cust_517,Splendor Plus,2025-02-23,143342.39,Card,0,10
267,Cust_518,390 Adventure,2024-11-08,181409.72,Cash,0,5
268,Cust_519,125 Duke,2024-12-03,123879.97,Cash,0,8
269,Cust_520,Ninja 400,2024-08-21,214272.65,Card,0,4
270,Cust_521,Duke 200,2024-11-20,31954.88,Cash,0,9
271,Cust_524,FZ V3,2025-02-15,123518.34,Card,0,6
272,Cust_528,Jupiter,2024-06-18,103128.9,Card,0,6
273,Cust_529,FZ V3,2024-08-05,45607.08,EMI,3,5
274,Cust_530,RC 390,2025-02-24,23506.38,EMI,24,10
275,Cust_531,Platina 110,2024-08-07,152029.42,Cash,0,5
276,Cust_536,Jupiter,2025-02-18,75823.25,UPI,0,7
277,Cust_541,Ray ZR,2024-06-18,115123.89,Card,0,8
278,Cust_542,CBR 650R,2025-01-16,81080.64,Cash,0,7
279,Cust_546,125 Duke,2024-05-17,191932.03,Cash,0,1
280,Cust_547,Pulsar 150,2024-12-15,79078.91,UPI,0,1
281,Cust_548,250 Duke,2024-07-18,84368.94,EMI,3,10
282,Cust_549,Sport,2024-08-04,181971.77,UPI,0,6
283,Cust_550,Vulcan S,2024-05-31,67342.32,EMI,18,3
284,Cust_554,125 Duke,2025-03-07,43131.88,UPI,0,9
285,Cust_557,Versys 650,2024-03-16,65008.12,EMI,6,7
286,Cust_564,Ninja 300,2024-03-25,134135.64,UPI,0,2
287,Cust_565,Interceptor 650,2024-05-09,106826.92,UPI,0,3
288,Cust_566,Dio,2024-03-10,112614.08,UPI,0,8
289,Cust_567,R15 V4,2025-01-11,34751.45,EMI,24,1
290,Cust_572,Ray ZR,2024-11-29,80373.16,Cash,0,5
291,Cust_574,Himalayan,2024-07-01,178330.5,EMI,6,10
292,Cust_576,Avenger 220,2024-07-12,71646.38,Card,0,1
293,Cust_578,Splendor Plus,2025-02-23,84385.53,EMI,24,10
294,Cust_580,Fascino 125,2024-04-14,117006.97,EMI,24,7
295,Cust_587,Versys 650,2024-06-16,185487.79,UPI,0,5
296,Cust_588,Z650,2024-11-06,87290.44,Cash,0,6
297,Cust_589,Ninja 400,2024-12-26,163847.29,UPI,0,10
298,Cust_590,HF Deluxe,2025-03-03,229702.91,Card,0,3
299,Cust_592,Platina 110,2024-11-24,92061.05,Card,0,7
300,Cust_593,250 Duke,2024-10-23,103019.67,UPI,0,7
301,Cust_597,Versys 650,2024-08-22,125795.2,EMI,6,7
302,Cust_598,Versys 650,2025-02-20,157371.56,UPI,0,10
303,Cust_600,250 Duke,2024-09-14,150081.69,UPI,0,2
304,Cust_601,Dominar 400,2024-04-10,243530.84,Card,0,10
305,Cust_602,Jupiter,2024-04-21,174281.33,UPI,0,4
306,Cust_606,Xtreme 160R,2024-08-15,113244.12,Card,0,7
307,Cust_608,Platina 110,2024-12-01,130107.12,Card,0,3
308,Cust_609,Duke 200,2024-04-25,142909.93,UPI,0,5
309,Cust_613,Classic 350,2024-04-16,200632.66,Card,0,2
310,Cust_615,Activa,2024-03-09,145255.31,UPI,0,10
311,Cust_618,NTorq 125,2024-07-22,61075.17,UPI,0,9
312,Cust_621,Sport,2024-11-04,91158.66,UPI,0,4
313,Cust_622,Meteor 350,2025-02-07,28264.55,UPI,0,8
314,Cust_623,CT 100,2025-01-12,30586.37,EMI,18,7
315,Cust_624,Ninja 300,2024-12-11,72904.4,UPI,0,1
316,Cust_625,NTorq 125,2025-01-24,173656.85,UPI,0,10
317,Cust_627,Splendor Plus,2024-06-28,162500.49,Card,0,7
318,Cust_628,HF Deluxe,2024-08-10,28706.83,UPI,0,2
319,Cust_632,Ninja 300,2024-03-28,71251.41,EMI,6,3
320,Cust_633,Sport,2024-07-12,158182.16,Card,0,1
321,Cust_639,Dio,2024-03-14,81219.18,UPI,0,7
322,Cust_641,Classic 350,2024-05-31,64810.36,Card,0,3
323,Cust_643,Ninja 300,2025-02-21,66426.77,EMI,12,6
324,Cust_644,R15 V4,2024-12-11,117164.19,Card,0,7
325,Cust_646,Jupiter,2025-02-16,153002.06,UPI,0,10
326,Cust_647,390 Adventure,2024-05-22,139074.96,Card,0,2
327,Cust_652,MT-15,2024-10-07,277049.78,UPI,0,9
328,Cust_655,Versys 650,2024-06-27,234660.41,UPI,0,9
329,Cust_657,CT 100,2024-04-21,259264.05,Card,0,7
330,Cust_659,Glamour,2025-01-25,244730.04,UPI,0,5
331,Cust_661,CT 100,2025-02-13,187276.82,UPI,0,4
332,Cust_662,Pulsar 150,2024-07-11,73315.98,EMI,9,10
333,Cust_665,R15 V4,2024-08-16,81070.11,Card,0,1
334,Cust_667,Dio,2024-04-08,175623.86,UPI,0,4
335,Cust_668,Jupiter,2024-03-17,219320.14,EMI,9,7
336,Cust_670,Apache RTR 160,2024-06-22,115909.81,EMI,12,5
337,Cust_671,Shine,2024-04-23,165374.15,UPI,0,9
338,Cust_672,RC 390,2024-10-27,82445.48,UPI,0,4
339,Cust_673,390 Adventure,2024-04-14,255970.46,EMI,24,3
340,Cust_677,Splendor Plus,2024-11-03,117592.57,UPI,0,10
341,Cust_680,Ninja 300,2025-02-04,266137.07,Cash,0,4
342,Cust_681,Splendor Plus,2024-06-06,178216.21,Cash,0,2
343,Cust_686,Duke 200,2024-10-10,90244.43,UPI,0,5
344,Cust_689,Classic 350,2024-06-20,90106.03,UPI,0,4
345,Cust_691,Fascino 125,2024-12-28,100321.32,UPI,0,5
346,Cust_694,Z650,2025-01-01,98515.44,Cash,0,9
347,Cust_698,CBR 650R,2024-04-28,115819.6,EMI,6,4
348,Cust_700,Apache RTR 160,2024-11-17,126642.89,Cash,0,6
349,Cust_701,Z650,2025-01-30,86593.88,EMI,24,10
350,Cust_703,Himalayan,2024-04-17,237293.43,UPI,0,1
351,Cust_708,Ronin,2025-03-01,147995.37,Cash,0,2
352,Cust_709,Ninja 300,2025-01-20,104235.21,Card,0,6
353,Cust_710,Unicorn,2024-10-17,202920.32,Cash,0,8
354,Cust_713,CBR 650R,2024-06-04,223247.75,Card,0,9
355,Cust_714,R15 V4,2024-06-04,291269.32,Cash,0,4
356,Cust_716,MT-15,2024-09-23,297382.68,Cash,0,6
357,Cust_717,Interceptor 650,2025-01-14,183462.53,EMI,9,3
358,Cust_719,HF Deluxe,2024-05-05,90222.67,Card,0,10
359,Cust_722,Ronin,2024-11-22,244185.8,EMI,6,8
360,Cust_725,Activa,2024-06-07,82364.54,UPI,0,1
361,Cust_727,Fascino 125,2025-02-02,79983.76,UPI,0,2
362,Cust_729,Versys 650,2025-01-08,147464.2,UPI,0,10
363,Cust_730,Glamour,2024-05-02,92609.89,EMI,3,9
364,Cust_733,Shine,2024-11-05,180076.05,Cash,0,10
365,Cust_738,Glamour,2024-07-18,102288.64,Cash,0,3
366,Cust_739,Z650,2024-03-18,200074.23,UPI,0,3
367,Cust_741,Activa,2024-04-30,117113.07,UPI,0,10
368,Cust_742,FZ V3,2024-08-25,153144.88,UPI,0,9
369,Cust_743,Versys 650,2024-11-04,121080.49,EMI,6,3
370,Cust_745,250 Duke,2025-02-09,227250.32,UPI,0,10
371,Cust_746,Xtreme 160R,2024-04-21,252220.8,Cash,0,10
372,Cust_747,HF Deluxe,2024-05-13,80923.04,Cash,0,6
373,Cust_750,Sport,2024-08-12,72380.92,UPI,0,10
374,Cust_751,MT-15,2024-03-19,82125.23,Cash,0,10
375,Cust_752,NTorq 125,2024-10-19,127616.22,UPI,0,8
376,Cust_755,Z650,2024-04-18,172342.75,UPI,0,2
377,Cust_759,CT 100,2024-11-18,133931.85,Cash,0,6
378,Cust_761,Sport,2024-09-24,33162.09,UPI,0,2
379,Cust_763,Shine,2025-02-14,136999.36,UPI,0,10
380,Cust_767,Z650,2024-05-14,113433.94,UPI,0,10
381,Cust_768,250 Duke,2025-01-24,171844.98,Card,0,10
382,Cust_769,Shine,2024-08-20,131131.64,Cash,0,4
383,Cust_770,Apache RTR 160,2024-11-01,27476.59,UPI,0,10
384,Cust_774,Sport,2024-12-19,53031.1,Card,0,2
385,Cust_776,Versys 650,2024-11-05,219324.45,EMI,3,8
386,Cust_777,Interceptor 650,2024-07-09,156133.53,UPI,0,4
387,Cust_778,125 Duke,2024-09-24,38637.65,Cash,0,2
388,Cust_779,Classic 350,2024-10-14,224629.38,UPI,0,9
389,Cust_781,RC 390,2024-10-07,228179.65,Card,0,8
390,Cust_783,Dio,2024-06-04,73987.57,Cash,0,5
391,Cust_785,Dio,2024-04-06,102709.46,EMI,9,8
392,Cust_786,Shine,2024-07-25,101307.34,UPI,0,5
393,Cust_787,HF Deluxe,2024-11-24,176682.34,UPI,0,7
394,Cust_790,Unicorn,2025-01-30,71631.46,UPI,0,5
395,Cust_791,FZ V3,2024-11-08,189807.29,EMI,12,5
396,Cust_792,Fascino 125,2025-02-11,49873.12,Cash,0,4
397,Cust_795,MT-15,2025-01-14,79251.53,Cash,0,5
398,Cust_800,Dominar 400,2024-08-02,123536,Cash,0,10
399,Cust_802,Vulcan S,2024-07-28,190323.93,Cash,0,3
400,Cust_805,MT-15,2025-01-17,38999.91,EMI,12,4
401,Cust_806,Glamour,2025-03-01,157058.5,UPI,0,8
402,Cust_807,Dominar 400,2024-04-02,233888.27,UPI,0,6
403,Cust_812,FZ V3,2024-09-18,102086.43,Card,0,10
404,Cust_813,Hunter 350,2025-01-21,245824.44,Cash,0,2
405,Cust_814,Jupiter,2024-07-05,97997.7,EMI,12,9
406,Cust_816,390 Adventure,2025-01-08,78938.84,Card,0,7
407,Cust_818,Activa,2024-12-16,84785.84,UPI,0,5
408,Cust_819,Shine,2024-05-30,139521.69,Card,0,7
