Cust_ID,Age,State,City Tier,Avg Daily Distance Travells (km),Annual Income Range
Cust_141,32,West Bengal,Tier 3,50.98,300000-500000
Cust_142,35,Rajasthan,Metro,72.95,150000-300000
Cust_143,31,Uttar Pradesh,Tier 2,45.25,150000-300000
Cust_144,35,West Bengal,Metro,10.98,150000-300000
Cust_145,34,Delhi,Tier 2,66.8,150000-300000
Cust_146,34,Delhi,Tier 2,57.79,300000-500000
Cust_147,33,Gujarat,Tier 3,25.09,800000-1200000
Cust_148,33,West Bengal,Metro,65.63,300000-500000
Cust_149,34,Madhya Pradesh,Metro,35.62,800000-1200000
Cust_150,35,Maharashtra,Tier 3,18.16,1200000+
Cust_151,34,Madhya Pradesh,Tier 3,44.41,1200000+
Cust_152,33,Gujarat,Tier 2,68.59,150000-300000
Cust_153,32,Rajasthan,Tier 3,47.89,150000-300000
Cust_154,32,Uttar Pradesh,Tier 1,10,150000-300000
Cust_155,34,Tamil Nadu,Tier 3,12.15,800000-1200000
Cust_156,32,Madhya Pradesh,Tier 2,37.69,150000-300000
Cust_157,33,Maharashtra,Tier 1,25.52,300000-500000
Cust_158,34,Karnataka,Tier 2,78.02,150000-300000
Cust_159,32,Delhi,Tier 3,54.79,150000-300000
Cust_160,33,Punjab,Tier 2,61.73,150000-300000
Cust_161,34,Rajasthan,Tier 2,77.65,150000-300000
Cust_162,35,Delhi,Metro,79.21,800000-1200000
Cust_163,35,Maharashtra,Tier 2,56.15,800000-1200000
Cust_164,34,Uttar Pradesh,Metro,16.1,300000-500000
Cust_165,31,Tamil Nadu,Tier 1,72.23,800000-1200000
Cust_166,32,West Bengal,Metro,38.2,800000-1200000
Cust_167,33,Rajasthan,Metro,33.62,800000-1200000
Cust_168,34,West Bengal,Tier 3,73.16,800000-1200000
Cust_169,33,Punjab,Metro,48.46,800000-1200000
Cust_170,32,Tamil Nadu,Tier 1,71.63,300000-500000
Cust_171,32,Maharashtra,Tier 1,76.24,300000-500000
Cust_172,32,Punjab,Tier 1,63.97,500000-800000
Cust_173,33,Madhya Pradesh,Tier 2,71.65,150000-300000
Cust_174,32,Delhi,Tier 2,39.74,150000-300000
Cust_175,33,Madhya Pradesh,Tier 3,72.93,150000-300000
Cust_176,34,Gujarat,Tier 2,72.36,300000-500000
Cust_177,32,Delhi,Tier 3,18.32,300000-500000
Cust_178,34,Rajasthan,Tier 1,56.64,300000-500000
Cust_179,32,West Bengal,Metro,28.6,800000-1200000
Cust_180,35,Madhya Pradesh,Tier 3,20.84,500000-800000
Cust_181,32,Maharashtra,Metro,9.32,500000-800000
Cust_182,32,Maharashtra,Tier 3,31.57,150000-300000
Cust_183,34,Delhi,Tier 1,70.95,300000-500000
Cust_184,33,Delhi,Metro,25.66,300000-500000
Cust_185,32,Madhya Pradesh,Tier 1,37.83,150000-300000
Cust_186,31,West Bengal,Tier 3,25.56,150000-300000
Cust_187,31,Maharashtra,Tier 2,32.05,150000-300000
Cust_188,32,Delhi,Metro,16.39,150000-300000
Cust_189,31,Karnataka,Tier 3,49.58,500000-800000
Cust_190,33,West Bengal,Metro,40.32,150000-300000
Cust_191,35,Punjab,Tier 1,14.07,150000-300000
Cust_192,34,Karnataka,Tier 2,77.22,300000-500000
Cust_193,34,Karnataka,Tier 1,32.95,150000-300000
Cust_194,32,Maharashtra,Tier 2,45.36,300000-500000
Cust_195,33,Tamil Nadu,Tier 3,52.45,300000-500000
Cust_196,32,Punjab,Tier 3,36.67,300000-500000
Cust_197,31,Uttar Pradesh,Tier 1,48.73,1200000+
Cust_198,33,Punjab,Tier 3,35.32,150000-300000
Cust_199,34,West Bengal,Metro,27.6,500000-800000
Cust_200,31,Rajasthan,Tier 1,65.48,300000-500000
Cust_201,35,Uttar Pradesh,Tier 3,50.78,300000-500000
Cust_202,32,Karnataka,Metro,50.73,500000-800000
Cust_203,35,Tamil Nadu,Tier 1,45.3,150000-300000
Cust_204,35,Delhi,Tier 1,66.77,800000-1200000
Cust_205,34,Madhya Pradesh,Tier 1,62.05,150000-300000
Cust_206,32,Karnataka,Tier 3,68.69,800000-1200000
Cust_207,33,Uttar Pradesh,Tier 2,17.2,300000-500000
Cust_208,32,Delhi,Tier 3,76.14,800000-1200000
Cust_209,32,Rajasthan,Tier 2,61.36,500000-800000
Cust_210,35,Karnataka,Metro,15.65,800000-1200000
Cust_211,31,Maharashtra,Tier 3,47.38,150000-300000
Cust_212,33,West Bengal,Tier 3,33.54,300000-500000
Cust_213,33,Delhi,Tier 1,36.8,300000-500000
Cust_214,33,Rajasthan,Tier 2,76.92,150000-300000
Cust_215,32,Gujarat,Tier 2,25.57,300000-500000
Cust_216,31,Karnataka,Metro,19.01,800000-1200000
Cust_217,34,Madhya Pradesh,Tier 1,77.54,150000-300000
Cust_218,31,Karnataka,Tier 3,67.42,800000-1200000
Cust_219,35,Tamil Nadu,Tier 1,77.59,150000-300000
Cust_220,35,Delhi,Metro,79.05,500000-800000
Cust_221,31,Punjab,Metro,41.05,300000-500000
Cust_222,35,Maharashtra,Tier 3,70.54,150000-300000
Cust_223,32,West Bengal,Metro,43.61,300000-500000
Cust_224,31,Madhya Pradesh,Tier 3,56.34,800000-1200000
Cust_225,34,Karnataka,Tier 3,64.73,500000-800000
Cust_226,35,West Bengal,Tier 2,36.94,800000-1200000
Cust_227,31,Karnataka,Tier 3,44.45,300000-500000
Cust_228,34,Maharashtra,Tier 1,47.89,300000-500000
Cust_229,31,West Bengal,Tier 3,37.13,300000-500000
Cust_230,35,Maharashtra,Tier 3,65.71,500000-800000
Cust_231,31,Karnataka,Tier 1,42.36,1200000+
Cust_232,33,West Bengal,Tier 3,66.6,300000-500000
Cust_233,33,Uttar Pradesh,Metro,15.98,800000-1200000
Cust_234,35,Tamil Nadu,Metro,18.64,300000-500000
Cust_235,35,Rajasthan,Tier 2,20.82,800000-1200000
Cust_236,32,Karnataka,Metro,74.93,500000-800000
Cust_237,31,Karnataka,Tier 3,39.72,150000-300000
Cust_238,32,Karnataka,Tier 2,51.67,300000-500000
Cust_239,33,Gujarat,Tier 1,76.95,300000-500000
Cust_240,32,Karnataka,Tier 2,28.34,150000-300000
Cust_241,31,Rajasthan,Tier 1,21.39,800000-1200000
Cust_242,31,Maharashtra,Tier 1,13.87,300000-500000
Cust_243,31,Gujarat,Tier 3,30.29,800000-1200000
Cust_244,34,Punjab,Metro,47.58,500000-800000
Cust_245,34,Uttar Pradesh,Tier 1,13.28,150000-300000
Cust_246,31,Karnataka,Metro,45.75,500000-800000
Cust_247,35,Tamil Nadu,Tier 1,32.82,300000-500000
Cust_248,33,Tamil Nadu,Tier 3,67.25,800000-1200000
Cust_249,35,West Bengal,Tier 2,11.12,800000-1200000
Cust_250,31,Tamil Nadu,Tier 1,36.32,150000-300000
Cust_251,32,Madhya Pradesh,Tier 2,46.3,300000-500000
Cust_252,31,Maharashtra,Tier 3,42.89,1200000+
Cust_253,31,Rajasthan,Tier 2,12.37,500000-800000
Cust_254,34,Tamil Nadu,Tier 1,33.74,150000-300000
Cust_255,35,Punjab,Tier 3,20.62,300000-500000
Cust_256,34,Punjab,Tier 1,14.47,500000-800000
Cust_257,31,Delhi,Tier 1,39.06,300000-500000
Cust_258,32,West Bengal,Tier 1,47.47,300000-500000
Cust_259,34,Tamil Nadu,Tier 3,47.82,500000-800000
Cust_260,31,Punjab,Tier 1,52.45,800000-1200000
Cust_261,35,Delhi,Tier 2,37.82,300000-500000
Cust_262,35,Gujarat,Metro,70.61,800000-1200000
Cust_263,31,Maharashtra,Tier 1,45.46,300000-500000
Cust_264,31,Uttar Pradesh,Tier 1,76.81,1200000+
Cust_265,35,Tamil Nadu,Metro,22.16,500000-800000
Cust_266,32,Uttar Pradesh,Tier 3,11.64,500000-800000
Cust_267,32,Maharashtra,Tier 2,7.9,300000-500000
Cust_268,33,Uttar Pradesh,Tier 1,30.53,800000-1200000
Cust_269,31,Karnataka,Tier 3,22.21,300000-500000
Cust_270,32,Punjab,Tier 3,12.69,1200000+
Cust_271,35,Maharashtra,Metro,38.46,1200000+
Cust_272,34,Maharashtra,Metro,51.79,150000-300000
Cust_273,33,Gujarat,Tier 2,78.73,150000-300000
Cust_274,35,Tamil Nadu,Metro,23.46,500000-800000
Cust_275,33,Gujarat,Tier 1,16.89,300000-500000
Cust_276,31,Tamil Nadu,Tier 2,56.89,300000-500000
Cust_277,35,Punjab,Tier 3,30.51,300000-500000
Cust_278,31,Punjab,Metro,72.5,150000-300000
Cust_279,35,Gujarat,Tier 3,40.19,500000-800000
Cust_280,31,Gujarat,Tier 1,77.75,800000-1200000
Cust_281,35,Madhya Pradesh,Tier 1,19.31,800000-1200000
Cust_282,31,Uttar Pradesh,Tier 3,57.13,500000-800000
Cust_283,35,Maharashtra,Tier 3,33.33,300000-500000
Cust_284,34,Delhi,Tier 1,6.23,300000-500000
Cust_285,32,Uttar Pradesh,Metro,56.06,150000-300000
Cust_286,31,Karnataka,Tier 1,62.86,500000-800000
Cust_287,33,West Bengal,Tier 2,9.94,500000-800000
Cust_288,33,Rajasthan,Tier 2,66.41,150000-300000
Cust_289,35,Karnataka,Tier 2,11.76,300000-500000
Cust_290,34,Delhi,Tier 1,34.48,500000-800000
Cust_291,34,Tamil Nadu,Metro,61.93,150000-300000
Cust_292,35,Gujarat,Metro,25.62,300000-500000
Cust_293,34,Rajasthan,Tier 3,49.08,150000-300000
Cust_294,32,West Bengal,Tier 2,58.16,800000-1200000
Cust_295,34,Madhya Pradesh,Tier 2,8.89,300000-500000
Cust_296,34,Rajasthan,Metro,74.62,800000-1200000
Cust_297,35,Maharashtra,Metro,23.01,300000-500000
Cust_298,35,Rajasthan,Tier 2,61.81,800000-1200000
Cust_299,35,Delhi,Tier 1,27.55,300000-500000
Cust_300,33,Rajasthan,Tier 3,41.82,800000-1200000
Cust_301,35,Madhya Pradesh,Tier 1,62.48,300000-500000
Cust_302,32,Maharashtra,Tier 2,69.94,800000-1200000
Cust_303,34,Maharashtra,Metro,21.05,800000-1200000
Cust_304,31,Maharashtra,Tier 3,67.27,150000-300000
Cust_305,33,Madhya Pradesh,Tier 3,38.28,500000-800000
Cust_306,35,Uttar Pradesh,Tier 1,53.67,150000-300000
Cust_307,33,Tamil Nadu,Tier 1,66.6,500000-800000
Cust_308,33,Punjab,Tier 2,64.23,150000-300000
Cust_309,34,Maharashtra,Tier 3,68.78,150000-300000
Cust_310,33,Karnataka,Metro,74.58,1200000+
Cust_311,31,Maharashtra,Tier 1,58.25,300000-500000
Cust_312,31,Uttar Pradesh,Tier 1,20.86,150000-300000
Cust_313,31,Madhya Pradesh,Tier 3,19.99,150000-300000
Cust_314,32,Rajasthan,Tier 1,26.18,300000-500000
Cust_315,33,Madhya Pradesh,Tier 2,24.52,500000-800000
Cust_316,35,Rajasthan,Metro,71.56,500000-800000
Cust_317,31,Tamil Nadu,Metro,20.45,300000-500000
Cust_318,32,Madhya Pradesh,Tier 1,16.21,150000-300000
Cust_319,34,Tamil Nadu,Tier 3,59.6,500000-800000
Cust_320,32,Delhi,Tier 3,17.4,800000-1200000
Cust_321,33,West Bengal,Tier 1,9.17,300000-500000
Cust_322,32,Rajasthan,Tier 1,46.36,500000-800000
Cust_323,33,Uttar Pradesh,Tier 1,50.73,300000-500000
Cust_324,32,Maharashtra,Tier 3,63.18,500000-800000
Cust_325,33,Gujarat,Tier 1,43.41,800000-1200000
Cust_326,32,Karnataka,Metro,6.59,150000-300000
Cust_327,34,Rajasthan,Tier 1,34.74,500000-800000
Cust_328,31,Gujarat,Tier 1,13.03,500000-800000
Cust_329,32,Karnataka,Tier 2,5.65,500000-800000
Cust_330,35,Maharashtra,Tier 1,16.54,500000-800000
Cust_331,32,Punjab,Tier 3,41.52,150000-300000
Cust_332,32,Maharashtra,Tier 3,6.9,300000-500000
Cust_333,31,Rajasthan,Metro,12.32,300000-500000
Cust_334,33,Rajasthan,Tier 3,77.61,300000-500000
Cust_335,33,Karnataka,Tier 2,70.84,300000-500000
Cust_336,32,West Bengal,Tier 2,17.56,150000-300000
Cust_337,33,Tamil Nadu,Tier 3,56.42,500000-800000
Cust_338,34,Tamil Nadu,Tier 3,67.95,300000-500000
Cust_339,34,Maharashtra,Tier 3,9.23,500000-800000
Cust_340,35,Delhi,Metro,68.53,300000-500000
Cust_341,32,Punjab,Tier 1,37.17,150000-300000
Cust_342,33,Punjab,Metro,20.77,500000-800000
Cust_343,31,Punjab,Tier 2,38.83,1200000+
Cust_344,32,Punjab,Tier 3,25.76,300000-500000
Cust_345,33,West Bengal,Tier 2,54.45,800000-1200000
Cust_346,33,Madhya Pradesh,Metro,50.84,800000-1200000
Cust_347,35,Gujarat,Tier 2,8.98,300000-500000
Cust_348,32,Delhi,Tier 1,58.86,300000-500000
Cust_349,31,Uttar Pradesh,Tier 1,58.17,500000-800000
Cust_350,35,Tamil Nadu,Tier 3,54.18,1200000+
Cust_351,32,Rajasthan,Tier 3,44.47,800000-1200000
Cust_352,32,Rajasthan,Tier 1,74.51,800000-1200000
Cust_353,35,Madhya Pradesh,Tier 1,18.99,150000-300000
Cust_354,31,Uttar Pradesh,Tier 1,14.89,300000-500000
Cust_355,33,Gujarat,Tier 3,68.15,800000-1200000
Cust_356,31,Tamil Nadu,Tier 3,5.93,500000-800000
Cust_357,33,Punjab,Tier 3,30.93,150000-300000
Cust_358,32,Delhi,Tier 1,30.11,300000-500000
Cust_359,31,Madhya Pradesh,Tier 3,20.72,1200000+
Cust_360,32,Madhya Pradesh,Tier 2,72.18,300000-500000
Cust_361,34,Delhi,Tier 1,34.58,500000-800000
Cust_362,32,Tamil Nadu,Tier 3,43.85,300000-500000
Cust_363,35,Punjab,Metro,73.52,300000-500000
Cust_364,34,Tamil Nadu,Tier 1,29.98,150000-300000
Cust_365,33,Tamil Nadu,Tier 1,22.8,150000-300000
Cust_366,33,Delhi,Tier 3,66.31,1200000+
Cust_367,33,Uttar Pradesh,Tier 2,39.96,150000-300000
Cust_368,31,Madhya Pradesh,Tier 3,37.43,300000-500000
Cust_369,31,Maharashtra,Tier 3,59.77,300000-500000
Cust_370,33,Tamil Nadu,Metro,70.42,300000-500000
Cust_371,35,Uttar Pradesh,Tier 2,65.78,300000-500000
Cust_372,35,Rajasthan,Metro,28.79,300000-500000
Cust_373,31,West Bengal,Tier 1,64.99,300000-500000
Cust_374,33,Uttar Pradesh,Tier 3,50,300000-500000
Cust_375,32,Delhi,Tier 3,71,150000-300000
Cust_376,34,Delhi,Metro,10.81,300000-500000
Cust_377,31,Madhya Pradesh,Metro,57.92,500000-800000
Cust_378,32,Karnataka,Tier 1,70.63,300000-500000
Cust_379,33,Gujarat,Metro,13.86,500000-800000
Cust_380,34,Madhya Pradesh,Tier 3,29.02,300000-500000
Cust_381,32,Gujarat,Tier 2,78.4,150000-300000
Cust_382,33,Delhi,Tier 2,44.35,500000-800000
Cust_383,32,Punjab,Tier 2,17.35,300000-500000
Cust_384,33,Rajasthan,Metro,17.55,500000-800000
Cust_385,33,Punjab,Metro,5.93,1200000+
Cust_386,33,Rajasthan,Tier 1,26.36,150000-300000
Cust_387,34,Gujarat,Tier 1,21.92,500000-800000
Cust_388,34,Punjab,Metro,52.02,1200000+
Cust_389,32,Maharashtra,Tier 1,11.84,500000-800000
Cust_390,34,Tamil Nadu,Tier 2,71.08,800000-1200000
Cust_391,35,Karnataka,Metro,37.26,300000-500000
Cust_392,35,Tamil Nadu,Tier 3,7.05,800000-1200000
Cust_393,34,Karnataka,Metro,72.78,500000-800000
Cust_394,34,West Bengal,Tier 3,22.93,300000-500000
Cust_395,31,Uttar Pradesh,Metro,70.56,800000-1200000
Cust_396,31,Punjab,Tier 2,39.12,150000-300000
Cust_397,32,Rajasthan,Metro,16.71,150000-300000
Cust_398,32,Tamil Nadu,Metro,64.66,500000-800000
Cust_399,31,Tamil Nadu,Tier 1,50.37,800000-1200000
Cust_400,32,Delhi,Tier 2,52.41,300000-500000
Cust_401,35,Tamil Nadu,Tier 2,61.11,500000-800000
Cust_402,31,Maharashtra,Tier 3,62.9,150000-300000
Cust_403,31,Karnataka,Tier 2,71.93,300000-500000
Cust_404,34,Delhi,Tier 2,30.06,300000-500000
Cust_405,32,Karnataka,Metro,47.54,150000-300000
Cust_406,34,Punjab,Metro,18.36,300000-500000
Cust_407,33,Rajasthan,Tier 3,34.98,300000-500000
Cust_408,33,Karnataka,Tier 2,64.82,500000-800000
Cust_409,32,Gujarat,Metro,18.66,300000-500000
Cust_410,33,Gujarat,Tier 3,26.83,300000-500000
Cust_411,33,Karnataka,Tier 3,17.45,500000-800000
Cust_412,33,Gujarat,Tier 1,53.83,150000-300000
Cust_413,33,Maharashtra,Tier 2,68.49,300000-500000
Cust_414,35,Gujarat,Tier 1,24.84,300000-500000
Cust_415,31,Rajasthan,Tier 1,42.73,150000-300000
Cust_416,32,Tamil Nadu,Tier 3,32.52,300000-500000
Cust_417,32,Karnataka,Tier 1,23.46,500000-800000
Cust_418,32,Punjab,Tier 2,25.57,500000-800000
Cust_419,35,Karnataka,Tier 2,56.18,300000-500000
Cust_420,31,Karnataka,Metro,39.72,300000-500000
Cust_421,32,Uttar Pradesh,Tier 1,41.52,500000-800000
Cust_422,34,Karnataka,Tier 3,71.7,300000-500000
Cust_423,34,Tamil Nadu,Tier 3,36.56,150000-300000
Cust_424,31,Delhi,Tier 2,54.06,300000-500000
Cust_425,32,Madhya Pradesh,Tier 3,10.55,1200000+
Cust_426,35,Uttar Pradesh,Tier 3,74.76,300000-500000
Cust_427,31,Delhi,Tier 3,69.2,150000-300000
Cust_428,32,Rajasthan,Tier 3,70.03,150000-300000
Cust_429,33,West Bengal,Tier 3,11.82,300000-500000
Cust_430,35,Karnataka,Tier 2,38.76,800000-1200000
Cust_431,31,West Bengal,Tier 2,61.72,150000-300000
Cust_432,31,West Bengal,Metro,34.5,300000-500000
Cust_433,33,West Bengal,Tier 2,77.67,1200000+
Cust_434,34,Karnataka,Tier 3,66.37,300000-500000
Cust_435,33,Madhya Pradesh,Tier 3,54.96,150000-300000
Cust_436,34,Rajasthan,Metro,70.14,800000-1200000
Cust_437,32,West Bengal,Metro,24.98,500000-800000
Cust_438,32,Delhi,Tier 1,34.69,500000-800000
Cust_439,31,Punjab,Metro,30.2,800000-1200000
Cust_440,31,Karnataka,Tier 1,47.68,1200000+
Cust_441,34,West Bengal,Tier 2,47.55,800000-1200000
Cust_442,31,Karnataka,Tier 3,6.68,800000-1200000
Cust_443,34,Karnataka,Tier 3,46.57,150000-300000
Cust_444,33,Maharashtra,Tier 1,14.45,300000-500000
Cust_445,35,Madhya Pradesh,Tier 1,49.7,500000-800000
Cust_446,34,Punjab,Metro,72.85,1200000+
Cust_447,34,Maharashtra,Metro,48.78,500000-800000
Cust_448,35,Rajasthan,Metro,52.54,300000-500000
Cust_449,35,Punjab,Tier 2,62.34,500000-800000
Cust_450,34,Delhi,Tier 1,11.93,800000-1200000
Cust_451,31,Tamil Nadu,Tier 1,63.46,150000-300000
Cust_452,35,Tamil Nadu,Tier 1,72.94,300000-500000
